player_id;goal_keeper
P-02042;1
P-81393;1
P-86290;1
P-56772;1
P-80505;1
P-98382;1
P-04266;1
P-12036;1
P-13103;1
P-75402;1
P-79480;1
P-26945;1
P-40630;1
P-17027;1
P-47010;1
P-30416;1
P-53035;1
P-77276;1
P-25342;1
P-43460;1
P-79898;1
P-37948;1
P-29011;1
P-73175;1
P-95453;1
P-38185;1
P-83020;1
P-45367;1
P-67035;1
P-12996;1
P-36914;1
P-29107;1
P-61496;1
P-40442;1
P-85438;1
P-06659;1
P-43829;1
P-70879;1
P-21692;1
P-62567;1
P-73673;1
P-76817;1
P-82853;1
P-09384;1
P-21531;1
P-72460;1
P-13711;1
P-64086;1
P-03616;1
P-02115;1
P-22385;1
P-43213;1
P-15801;1
P-69103;1
P-44487;1
P-31496;1
P-44460;1
P-83165;1
P-60745;1
P-83613;1
P-66036;1
P-12206;1
P-55451;1
P-23912;1
P-54576;1
P-97777;1
P-08972;1
P-58349;1
P-84380;1
P-57595;1
P-81466;1
P-39788;1
P-11976;1
P-32386;1
P-51443;1
P-08652;1
P-80606;1
P-24782;1
P-51990;1
P-24277;1
P-03644;1
P-70770;1
P-88961;1
P-78276;1
P-56097;1
P-90611;1
P-74924;1
P-31312;1
P-20690;1
P-55917;1
P-16675;1
P-60826;1
P-45593;1
P-44209;1
P-63987;1
P-16070;1
P-93941;1
P-74455;1
P-48947;1
P-91040;1
P-41870;1
P-61069;1
P-64332;1
P-54481;1
P-90789;1
P-49425;1
P-81990;1
P-35934;1
P-65816;1
P-30753;1
P-28811;1
P-55991;1
P-35031;1
P-14044;1
P-51570;1
P-03297;1
P-28170;1
P-06291;1
P-30996;1
P-80138;1
P-20998;1
P-58954;1
P-17774;1
P-01959;1
P-72733;1
P-34408;1
P-55710;1
P-82657;1
P-46325;1
P-35834;1
P-25439;1
P-77356;1
P-98161;1
P-20094;1
P-51538;1
P-95008;1
P-33626;1
P-85955;1
P-62261;1
P-32988;1
P-93882;1
P-27059;1
P-81118;1
P-40292;1
P-15282;1
P-59575;1
P-64427;1
P-81922;1
P-44775;1
P-54611;1
P-32668;1
P-26126;1
P-47067;1
P-91984;1
P-12056;1
P-15123;1
P-25979;1
P-33560;1
P-67839;1
P-76506;1
P-89288;1
P-46263;1
P-00315;1
P-32695;1
P-66870;1
P-69244;1
P-55762;1
P-23160;1
P-12977;1
P-41783;1
P-52641;1
P-50688;1
P-63553;1
P-89601;1
P-71237;1
P-96120;1
P-18281;1
P-40412;1
P-31551;1
P-14001;1
P-81440;1
P-11392;1
P-95875;1
P-49090;1
P-96776;1
P-29849;1
P-56385;1
P-91890;1
P-90361;1
P-99830;1
P-38372;1
P-05630;1
P-48304;1
P-17853;1
P-46849;1
P-01594;1
P-03944;1
P-66980;1
P-91983;1
P-18252;1
P-97290;1
P-51981;1
P-46020;1
P-50787;1
P-81462;1
P-14138;1
P-15632;1
P-16059;1
P-76186;1
P-69496;1
P-91888;1
P-08987;1
P-43781;1
P-90224;1
P-53390;1
P-95105;1
P-38004;1
P-69090;1
P-57447;1
P-72041;1
P-67001;1
P-09633;1
P-06741;1
P-61793;1
P-66815;1
P-17626;1
P-19392;1
P-88715;1
P-65172;1
P-86570;1
P-91301;1
P-18898;1
P-49485;1
P-60052;1
P-77995;1
P-53062;1
P-36403;1
P-01939;1
P-33494;1
P-73371;1
P-94715;1
P-11275;1
P-11930;1
P-89078;1
P-51633;1
P-55474;1
P-90721;1
P-05387;1
P-17205;1
P-75179;1
P-10416;1
P-82210;1
P-52654;1
P-36426;1
P-26109;1
P-51170;1
P-77268;1
P-42690;1
P-20285;1
P-80442;1
P-71273;1
P-07304;1
P-21988;1
P-68395;1
P-58665;1
P-62775;1
P-03406;1
P-79390;1
P-56360;1
P-07302;1
P-57546;1
P-13129;1
P-62978;1
P-37637;1
P-95116;1
P-95119;1
P-81455;1
P-24621;1
P-51375;1
P-02230;1
P-82332;1
P-24515;1
P-19263;1
P-34569;1
P-57868;1
P-01278;1
P-54827;1
P-43291;1
P-96662;1
P-57021;1
P-09658;1
P-06384;1
P-79032;1
P-29212;1
P-77440;1
P-20435;1
P-55616;1
P-32803;1
P-37242;1
P-16148;1
P-94763;1
P-32342;1
P-24689;1
P-32139;1
P-28452;1
P-92482;1
P-97126;1
P-52217;1
P-15829;1
P-05120;1
P-19910;1
P-48592;1
P-72937;1
P-93339;1
P-36153;1
P-68567;1
P-26403;1
P-79047;1
P-58464;1
P-65422;1
P-44035;1
P-02673;1
P-22795;1
P-02795;1
P-59970;1
P-99821;1
P-71520;1
P-82421;1
P-06228;1
P-92858;1
P-72770;1
P-60714;1
P-40995;1
P-33784;1
P-70067;1
P-94877;1
P-84034;1
P-61927;1
P-12437;1
P-33690;1
P-80046;1
P-34806;1
P-59886;1
P-82430;1
P-00796;1
P-62963;1
P-54578;1
P-28333;1
P-69367;1
P-89248;1
P-37990;1
P-64611;1
P-11454;1
P-57117;1
P-47983;1
P-25326;1
P-49027;1
P-62026;1
P-32448;1
P-93051;1
P-23480;1
P-86080;1
P-97395;1
P-56293;1
P-54429;1
P-09559;1
P-70926;1
P-63450;1
P-69227;1
P-75315;1
P-39249;1
P-49063;1
P-70357;1
P-41130;1
P-38003;1
P-81025;1
P-00747;1
P-32614;1
P-79424;1
P-98948;1
P-97369;1
P-51723;1
P-57476;1
P-82850;1
P-98864;1
P-96469;1
P-33989;1
P-76271;1
P-39749;1
P-06977;1
P-53503;1
P-10061;1
P-85729;1
P-47269;1
P-71063;1
P-36230;1
P-07810;1
P-14478;1
P-76203;1
P-25276;1
P-96371;1
P-32235;1
P-21149;1
P-61105;1
P-07038;1
P-31138;1
P-03657;1
P-46307;1
P-09165;1
P-27047;1
P-85181;1
P-28322;1
P-98837;1
P-76191;1
P-01760;1
P-07343;1
P-40884;1
P-38266;1
P-33785;1
P-07864;1
P-56347;1
P-92234;1
P-83518;1
P-56533;1
P-75180;1
P-98886;1
P-85649;1
P-07960;1
P-21555;1
P-25845;1
P-64569;1
P-43724;1
P-32722;1
P-09102;1
P-96957;1
P-70594;1
P-48079;1
P-88474;1
P-76328;1
P-98482;1
P-07056;1
P-73954;1
P-22236;1
P-32512;1
P-34712;1
P-51266;1
P-80104;1
P-99286;1
P-27402;1
P-53378;1
P-21324;1
P-53694;1
P-66906;1
P-51887;1
P-83595;1
P-51002;1
P-74765;1
P-73129;1
P-01355;1
P-34056;1
P-84160;1
P-90913;1
P-22569;1
P-32870;1
P-84201;1
P-82415;1
P-33940;1
P-14379;1
P-81262;1
P-45636;1
P-64266;1
P-32482;1
P-18873;1
P-71481;1
P-58476;1
P-18444;1
P-27647;1
P-70689;1
P-16755;1
P-13053;1
P-92673;1
P-37032;1
P-08052;1
P-19652;1
P-18748;1
P-44262;1
P-51033;1
P-20424;1
P-63535;1
P-15218;1
P-80179;1
P-37679;1
P-37296;1
P-32811;1
P-64443;1
P-30434;1
P-65159;1
P-42685;1
P-75618;1
P-57303;1
P-71792;1
P-86965;1
P-38795;1
P-07902;1
P-47243;1
P-43209;1
P-46457;1
P-83083;1
P-66256;1
P-04162;1
P-44716;1
P-47836;1
P-55197;1
P-53103;1
P-11411;1
P-33331;1
P-31928;1
P-30693;1
P-24893;1
P-74836;1
P-09117;1
P-58533;1
P-64948;1
P-37638;1
P-79975;1
P-83507;1
P-95839;1
P-06529;1
P-04945;1
P-97038;1
P-55839;1
P-01792;1
P-28492;1
P-40496;1
P-50522;1
P-41194;1
P-49305;1
P-13066;1
P-92698;1
P-90839;1
P-47469;1
P-31788;1
P-01406;1
P-59164;1
P-84364;1
P-34430;1
P-61200;1
P-10089;1
P-62756;1
P-38928;1
P-47401;1
P-36095;1
P-24755;1
P-28726;1
P-90267;1
P-94391;1
P-94815;1
P-03553;1
P-74150;1
P-90001;1
P-24808;1
P-59324;1
P-66224;1
P-34985;1
P-41422;1
P-55794;1
P-54677;1
P-93046;1
P-34336;1
P-02177;1
P-04157;1
P-16656;1
P-49113;1
P-58449;1
P-79093;1
P-38940;1
P-46890;1
P-67990;1
P-53773;1
P-84536;1
P-10948;1
P-12372;1
P-82146;1
P-42054;1
P-73468;1
P-64083;1
P-41156;1
P-60130;1
P-88939;1
P-33751;1
P-84176;1
P-55125;1
P-89113;1
P-62487;1
P-59683;1
P-92968;1
P-34923;1
P-83726;1
P-51247;1
P-39513;1
P-70338;1
P-91428;1
P-01064;1
P-79202;1
P-86176;1
P-79597;1
P-54298;1
P-53272;1
P-71920;1
P-77947;1
P-07553;1
P-33377;1
P-51617;1
P-54805;1
P-95677;1
P-38574;1
P-79072;1
P-51305;1
P-22071;1
P-84722;1
P-89048;1
P-29757;1
P-16593;1
P-70854;1
P-42392;1
P-80634;1
P-95438;1
P-42523;1
P-50318;1
P-08539;1
P-42839;1
P-81778;1
P-07338;1
P-55970;1
P-70336;1
P-25541;1
P-44327;1
P-68074;1
P-08692;1
P-06076;1
P-38800;1
P-02366;1
P-62318;1
P-91339;1
P-41753;1
P-80487;1
P-08372;1
P-45405;1
P-29913;1
P-19443;1
P-56493;1
P-69107;1
P-48430;1
P-53278;1
P-42059;1
P-08071;1
P-52456;1
P-69448;1
P-67353;1
P-74349;1
P-68158;1
P-66859;1
P-42745;1
P-80280;1
P-55017;1
P-09868;1
P-34895;1
P-84116;1
P-15476;1
P-18796;1
P-66065;1
P-47418;1
P-52310;1
P-30371;1
P-04803;1
P-30652;1
P-15064;1
P-27162;1
P-09282;1
P-96913;1
P-80982;1
P-12397;1
P-98909;1
P-06015;1
P-41105;1
P-18963;1
P-36838;1
P-60695;1
P-95122;1
P-98511;1
P-91107;1
P-16323;1
P-85003;1
P-39053;1
P-29799;1
P-09660;1
P-85220;1
P-34428;1
P-63813;1
P-54286;1
P-27779;1
P-50231;1
P-29893;1
P-99988;1
P-59252;1
P-59589;1
P-30711;1
P-03044;1
P-74709;1
P-93586;1
P-60604;1
P-19564;1
P-28357;1
P-29767;1
P-69429;1
P-85779;1
P-71173;1
P-37265;1
P-91493;1
P-00596;1
P-83575;1
P-49430;1
P-08268;1
P-29734;1
P-30655;1
P-14080;1
P-13151;1
P-50711;1
P-36638;1
P-69594;1
P-89713;1
P-39644;1
P-89031;1
P-17075;1
P-64203;1
P-93900;1
P-30116;1
P-35550;1
P-64377;1
P-84648;1
P-11751;1
P-79632;1
P-13782;1
P-78119;1
P-13162;1
P-34980;1
P-18967;1
P-93674;1
P-93906;1
P-92483;1
P-83809;1
P-38439;1
P-25989;1
P-40979;1
P-01018;1
P-04692;1
P-31624;1
P-29185;1
P-53140;1
P-91402;1
P-74959;1
P-06948;1
P-33982;1
P-53935;1
P-45399;1
P-45660;1
P-30771;1
P-43736;1
P-19646;1
P-86109;1
P-20595;1
P-67438;1
P-06221;1
P-21945;1
P-39735;1
P-06268;1
P-10313;1
P-94024;1
P-22231;1
P-24245;1
P-68603;1
P-69918;1
P-07892;1
P-60468;1
P-83750;1
P-18605;1
P-50717;1
P-15566;1
P-11692;1
P-57289;1
P-91463;1
P-02080;1
P-18894;1
P-92476;1
P-74506;1
P-73814;1
P-45524;1
P-62196;1
P-87406;1
P-79497;1
P-76784;1
P-07569;1
P-37589;1
P-96358;1
P-83904;1
P-42208;1
P-38187;1
P-29001;1
P-18230;1
P-79836;1
P-92838;1
P-95570;1
P-00234;1
P-73082;1
P-10014;1
P-25946;1
P-01729;1
P-49497;1
P-99616;1
P-17986;1
P-94440;1
P-95667;1
P-12946;1
P-99636;1
P-20127;1
P-68937;1
P-24251;1
P-81392;1
P-03284;1
P-51933;1
P-06835;1
P-71914;1
P-44581;1
P-02104;1
P-66577;1
P-32449;1
P-19408;1
P-22927;1
P-39837;1
P-17784;1
P-97196;1
P-07141;1
P-86448;1
P-31099;1
P-42549;1
P-86300;1
P-65731;1
P-39010;1
P-28762;1
P-28304;1
P-47982;1
P-82000;1
P-39183;1
P-52552;1
P-08714;1
P-66373;1
P-33838;1
P-81179;1
P-60422;1
P-80826;1
P-49442;1
P-96558;1
P-53803;1
P-95601;1
P-68804;1
P-79585;1
P-61074;1
P-95291;1
P-47156;1
P-26943;1
P-01275;1
P-65033;1
P-34572;1
P-75926;1
P-67127;1
P-11758;1
P-57497;1
P-40837;1
P-86028;1
P-10055;1
P-94838;1
P-10863;1
P-00489;1
P-92129;1
P-99251;1
P-97589;1
P-98768;1
P-05081;1
P-88002;1
P-36957;1
P-14432;1
P-01567;1
P-76922;1
P-61949;1
P-06866;1
P-34573;1
P-05331;1
P-03916;1
P-09954;1
P-60304;1
P-18921;1
P-72028;1
P-70970;1
P-02702;1
P-64761;1
P-42369;1
P-08627;1
P-16610;1
P-88896;1
P-77521;1
P-29138;1
P-62514;1
P-91257;1
P-67041;1
P-60866;1
P-58308;1
P-09774;1
P-52784;1
P-60769;1
P-73008;1
P-24713;1
P-88263;1
P-46594;1
P-18421;1
P-37477;1
P-68800;1
P-57771;1
P-84816;1
P-30107;1
P-30046;1
P-36606;1
P-69864;1
P-70618;1
P-51516;1
P-04639;1
P-52362;1
P-92631;1
P-44980;1
P-87822;1
P-59807;1
P-52528;1
P-04514;1
P-14775;1
P-85818;1
P-89070;1
P-66817;1
P-70815;1
P-47501;1
P-00531;1
P-95773;1
P-29644;1
P-40693;1
P-14305;1
P-67464;1
P-15637;1
P-37090;1
P-86534;1
P-50573;1
P-47065;1
P-07978;1
P-79097;1
P-17302;1
P-04931;1
P-17740;1
P-35773;1
P-72288;1
P-59735;1
P-61561;1
P-39347;1
P-62368;1
P-06115;1
P-94051;1
P-33433;1
P-33683;1
P-61478;1
P-30596;1
P-24116;1
P-98896;1
P-45285;1
P-44334;1
P-15615;1
P-60490;1
P-07985;1
P-70524;1
P-84527;1
P-08689;1
P-24930;1
P-45039;1
P-45712;1
P-99080;1
P-78113;1
P-12835;1
P-81085;1
P-72859;1
P-00232;1
P-80905;1
P-43570;1
P-73100;1
P-23356;1
P-14580;1
P-00855;1
P-60541;1
P-35930;1
P-77881;1
P-36668;1
P-74059;1
P-05695;1
P-15677;1
P-75277;1
P-01560;1
P-83261;1
P-36188;1
P-06049;1
P-77257;1
P-87726;1
P-10244;1
P-19469;1
P-85559;1
P-85204;1
P-85689;1
P-39089;1
P-46260;1
P-14561;1
P-12180;1
P-79242;1
P-92932;1
P-92513;1
P-18004;1
P-81341;1
P-51832;1
P-55784;1
P-44882;1
P-28179;1
P-25714;1
P-24558;1
P-58755;1
P-35183;1
P-77827;1
P-69826;1
P-63937;1
P-66845;1
P-93803;1
P-35622;1
P-09155;1
P-78023;1
P-07171;1
P-46980;1
P-78863;1
P-87458;1
P-17759;1
P-13285;1
P-96627;1
P-39680;1
P-78416;1
P-10247;1
P-59293;1
P-56801;1
P-97803;1
P-81142;1
P-09081;1
P-49168;1
P-89376;1
P-95996;1
P-63984;1
P-20640;1
P-99794;1
P-42749;1
P-22507;1
P-91649;1
P-96162;1
P-96937;1
P-07928;1
P-59802;1
P-66734;1
P-49309;1
P-94271;1
P-91403;1
P-60016;1
P-37708;1
P-01929;1
P-17943;1
P-85265;1
P-22351;1
P-99096;1
P-94511;1
P-80833;1
P-83591;1
P-63312;1
P-93402;1
P-00212;1
P-23564;1
P-83945;1
P-19914;1
P-50189;1
P-65099;1
P-50233;1
P-22822;1
P-94317;1
P-71680;1
P-75836;1
P-62720;1
P-71616;1
P-76459;1
P-36850;1
P-44978;1
P-43486;1
P-05474;1
P-32477;1
P-88196;1
P-62568;1
P-55273;1
P-78976;1
P-46403;1
P-51677;1
P-41995;1
P-00506;1
P-25428;1
P-77946;1
P-42042;1
P-28281;1
P-89545;1
P-15746;1
P-26019;1
P-84659;1
P-88898;1
P-76027;1
P-16571;1
P-60980;1
P-82202;1
P-31606;1
P-21159;1
P-05681;1
P-61854;1
P-31850;1
P-88869;1
P-72591;1
P-61834;1
P-20882;1
P-94928;1
P-55739;1
P-52233;1
P-50344;1
P-26025;1
P-62322;1
P-93337;1
P-08028;1
P-11668;1
P-74519;1
P-78748;1
P-03367;1
P-50674;1
P-47686;1
P-03139;1
P-50248;1
P-54977;1
P-03090;1
P-35661;1
P-03558;1
P-20973;1
P-31283;1
P-70975;1
P-53723;1
P-06667;1
P-13952;1
P-66585;1
P-98429;1
P-81947;1
P-69901;1
P-89818;1
P-83061;1
P-37943;1
P-48903;1
P-83927;1
P-66051;1
P-44005;1
P-66580;1
P-77395;1
P-07594;1
P-51931;1
P-11308;1
P-89076;1
P-93059;1
P-80380;1
P-52146;1
P-37048;1
P-58282;1
P-28465;1
P-26572;1
P-46351;1
P-24944;1
P-47320;1
P-18623;1
P-12777;1
P-32287;1
P-64032;1
P-94232;1
P-27327;1
P-04130;1
P-52199;1
P-89708;1
P-94668;1
P-85966;1
P-40025;1
P-28745;1
P-83158;1
P-17536;1
P-25118;1
P-54160;1
P-66369;1
P-94095;1
P-68967;1
P-15216;1
P-29399;1
P-94060;1
P-66232;1
P-09393;1
P-53809;1
P-34958;1
P-60014;1
P-26579;1
P-57626;1
P-32095;1
P-11675;1
P-76392;1
P-61610;1
P-76215;1
P-39546;1
P-50707;1
P-87745;1
P-31718;1
P-38343;1
P-27707;1
P-66020;1
P-59523;1
P-49049;1
P-76001;1
P-68199;1
P-14235;1
P-94956;1
P-14752;1
P-33547;1
P-05974;1
P-18786;1
P-75487;1
P-57908;1
P-26253;1
P-81883;1
P-09794;1
P-09049;1
P-74705;1
P-62941;1
P-17805;1
P-93312;1
P-14314;1
P-43699;1
P-09317;1
P-64945;1
P-46793;1
P-18674;1
P-00439;1
P-21807;1
P-99270;1
P-87191;1
P-07867;1
P-22304;1
P-39700;1
P-73607;1
P-64307;1
P-02919;1
P-93772;1
P-52593;1
P-57440;1
P-02096;1
P-02858;1
P-43215;1
P-89223;1
P-58856;1
P-28220;1
P-62296;1
P-41334;1
P-48831;1
P-77464;1
P-70088;1
P-38789;1
P-63214;1
P-02042;1
P-80505;1
P-98382;1
P-95453;1
P-12996;1
P-85438;1
P-43829;1
P-73673;1
P-21531;1
P-22385;1
P-15801;1
P-66036;1
P-55451;1
P-23912;1
P-54576;1
P-84380;1
P-81466;1
P-39788;1
P-11976;1
P-20690;1
P-45593;1
P-74455;1
P-41870;1
P-61069;1
P-64332;1
P-90789;1
P-49425;1
P-30753;1
P-55991;1
P-06291;1
P-20998;1
P-17774;1
P-46325;1
P-25439;1
P-27059;1
P-59575;1
P-64427;1
P-81922;1
P-26126;1
P-47067;1
P-25979;1
P-67839;1
P-76506;1
P-12977;1
P-41783;1
P-52641;1
P-50688;1
P-89601;1
P-71237;1
P-40412;1
P-81440;1
P-11392;1
P-56385;1
P-90361;1
P-99830;1
P-05630;1
P-66980;1
P-50787;1
P-16059;1
P-69496;1
P-43781;1
P-61793;1
P-88715;1
P-86570;1
P-60052;1
P-01939;1
P-11275;1
P-55474;1
P-90721;1
P-82210;1
P-52654;1
P-36426;1
P-20285;1
P-21988;1
P-24621;1
P-19263;1
P-57021;1
P-09658;1
P-32342;1
P-52217;1
P-15829;1
P-05120;1
P-72937;1
P-93339;1
P-26403;1
P-02795;1
P-72770;1
P-94877;1
P-89248;1
P-37990;1
P-47983;1
P-70926;1
P-75315;1
P-39249;1
P-41130;1
P-81025;1
P-57476;1
P-71063;1
P-25276;1
P-32235;1
P-76191;1
P-38266;1
P-07864;1
P-92234;1
P-56533;1
P-75180;1
P-76328;1
P-07056;1
P-80104;1
P-21324;1
P-53694;1
P-66906;1
P-51002;1
P-34056;1
P-14379;1
P-81262;1
P-58476;1
P-70689;1
P-16755;1
P-92673;1
P-51033;1
P-63535;1
P-32811;1
P-64443;1
P-65159;1
P-57303;1
P-07902;1
P-43209;1
P-58533;1
P-79975;1
P-95839;1
P-50522;1
P-49305;1
P-01406;1
P-59164;1
P-84364;1
P-47401;1
P-24755;1
P-03553;1
P-90001;1
P-59324;1
P-55794;1
P-04157;1
P-53773;1
P-12372;1
P-88939;1
P-33751;1
P-84176;1
P-59683;1
P-79597;1
P-54298;1
P-53272;1
P-71920;1
P-07553;1
P-33377;1
P-84722;1
P-16593;1
P-42523;1
P-08539;1
P-81778;1
P-25541;1
P-62318;1
P-80487;1
P-45405;1
P-68158;1
P-15476;1
P-47418;1
P-30652;1
P-80982;1
P-12397;1
P-06015;1
P-41105;1
P-95122;1
P-98511;1
P-16323;1
P-85003;1
P-39053;1
P-27779;1
P-29893;1
P-99988;1
P-59589;1
P-30711;1
P-85779;1
P-00596;1
P-14080;1
P-69594;1
P-93674;1
P-93906;1
P-92483;1
P-38439;1
P-25989;1
P-53140;1
P-33982;1
P-53935;1
P-43736;1
P-86109;1
P-67438;1
P-10313;1
P-94024;1
P-50717;1
P-15566;1
P-11692;1
P-02080;1
P-62196;1
P-38187;1
P-10014;1
P-95667;1
P-12946;1
P-24251;1
P-81392;1
P-03284;1
P-51933;1
P-19408;1
P-39837;1
P-39183;1
P-81179;1
P-80826;1
P-61074;1
P-65033;1
P-57497;1
P-40837;1
P-94838;1
P-88002;1
P-01567;1
P-72028;1
P-88896;1
P-60866;1
P-52784;1
P-46594;1
P-84816;1
P-70618;1
P-52528;1
P-04514;1
P-85818;1
P-89070;1
P-00531;1
P-29644;1
P-15637;1
P-07978;1
P-17740;1
P-35773;1
P-94051;1
P-44334;1
P-15615;1
P-84527;1
P-45712;1
P-00855;1
P-60541;1
P-35930;1
P-36668;1
P-05695;1
P-75277;1
P-10244;1
P-46260;1
P-92932;1
P-18004;1
P-51832;1
P-44882;1
P-24558;1
P-58755;1
P-69826;1
P-35622;1
P-09155;1
P-78023;1
P-07171;1
P-78863;1
P-17759;1
P-13285;1
P-97803;1
P-89376;1
P-20640;1
P-59802;1
P-66734;1
P-01929;1
P-80833;1
P-83591;1
P-63312;1
P-93402;1
P-00212;1
P-83945;1
P-22822;1
P-71680;1
P-36850;1
P-44978;1
P-46403;1
P-00506;1
P-25428;1
P-77946;1
P-42042;1
P-15746;1
P-26019;1
P-76027;1
P-60980;1
P-31606;1
P-05681;1
P-31850;1
P-88869;1
P-20882;1
P-94928;1
P-78748;1
P-03367;1
P-50248;1
P-35661;1
P-53723;1
P-06667;1
P-81947;1
P-44005;1
P-93059;1
P-26572;1
P-24944;1
P-47320;1
P-32287;1
P-27327;1
P-94668;1
P-54160;1
P-66369;1
P-94060;1
P-26579;1
P-57626;1
P-32095;1
P-11675;1
P-87745;1
P-38343;1
P-59523;1
P-94956;1
P-81883;1
P-17805;1
P-09317;1
P-21807;1
P-99270;1
P-57440;1
P-62296;1
P-48831;1
P-63214;1
P-12996;1
P-73673;1
P-66036;1
P-54576;1
P-20690;1
P-61069;1
P-64332;1
P-90789;1
P-30753;1
P-55991;1
P-06291;1
P-17774;1
P-46325;1
P-27059;1
P-52641;1
P-11392;1
P-50787;1
P-16059;1
P-69496;1
P-43781;1
P-61793;1
P-86570;1
P-11275;1
P-55474;1
P-90721;1
P-52654;1
P-19263;1
P-09658;1
P-32342;1
P-05120;1
P-72937;1
P-93339;1
P-02795;1
P-47983;1
P-75315;1
P-39249;1
P-25276;1
P-76191;1
P-38266;1
P-07056;1
P-81262;1
P-63535;1
P-43209;1
P-58533;1
P-50522;1
P-59324;1
P-33751;1
P-54298;1
P-53272;1
P-07553;1
P-42523;1
P-45405;1
P-47418;1
P-06015;1
P-41105;1
P-95122;1
P-98511;1
P-85003;1
P-27779;1
P-30711;1
P-85779;1
P-14080;1
P-69594;1
P-53140;1
P-33982;1
P-43736;1
P-10313;1
P-94024;1
P-02080;1
P-10014;1
P-95667;1
P-24251;1
P-81392;1
P-51933;1
P-19408;1
P-39183;1
P-80826;1
P-65033;1
P-57497;1
P-88002;1
P-72028;1
P-60866;1
P-52784;1
P-85818;1
P-15637;1
P-44334;1
P-36668;1
P-05695;1
P-10244;1
P-92932;1
P-09155;1
P-78023;1
P-17759;1
P-13285;1
P-20640;1
P-59802;1
P-66734;1
P-80833;1
P-63312;1
P-93402;1
P-44978;1
P-46403;1
P-42042;1
P-31850;1
P-94928;1
P-78748;1
P-44005;1
P-26572;1
P-94060;1
P-94956;1
P-17805;1
P-09317;1
P-48831;1
P-63214;1
P-54576;1
P-11392;1
P-69496;1
P-41105;1
P-39183;1
P-80826;1
